freq,id,year_bac_plus,echelon
10,392,2,"enrolled + FA app.
but not eligible"
10,392,3,6
7,393,1,1
7,393,2,"enrolled + FA app.
but not eligible"
7,393,3,7
207,394,1,1
207,394,2,"enrolled + FA app.
but not eligible"
207,394,3,"enrolled + FA app.
but not eligible"
27,395,1,1
27,395,2,"enrolled + FA app.
but not eligible"
27,395,3,"not enrolled + FA app.
but not eligible"
1139,396,1,1
1139,396,2,"enrolled + FA app.
but not eligible"
1139,396,3,
8,397,1,1
8,397,2,"not enrolled + FA app.
but not eligible"
8,397,3,0
16,398,1,1
16,398,2,"not enrolled + FA app.
but not eligible"
16,398,3,0bis
17,399,1,1
17,399,2,"not enrolled + FA app.
but not eligible"
17,399,3,1
5,400,1,1
5,400,2,"not enrolled + FA app.
but not eligible"
5,400,3,2
4,401,1,1
4,401,2,"not enrolled + FA app.
but not eligible"
4,401,3,3
2,402,1,1
2,402,2,"not enrolled + FA app.
but not eligible"
2,402,3,4
3,403,1,1
3,403,2,"not enrolled + FA app.
but not eligible"
3,403,3,5
2,404,1,1
2,404,2,"not enrolled + FA app.
but not eligible"
2,404,3,6
4,405,1,1
4,405,2,"not enrolled + FA app.
but not eligible"
4,405,3,"enrolled + FA app.
but not eligible"
12,406,1,1
12,406,2,"not enrolled + FA app.
but not eligible"
12,406,3,"not enrolled + FA app.
but not eligible"
389,407,1,1
389,407,2,"not enrolled + FA app.
but not eligible"
389,407,3,
709,408,1,1
709,408,2,
709,408,3,0
1050,409,1,1
1050,409,2,
1050,409,3,0bis
1592,410,1,1
1592,410,2,
1592,410,3,1
398,411,1,1
398,411,2,
398,411,3,2
200,412,1,1
200,412,2,
200,412,3,3
129,413,1,1
129,413,2,
129,413,3,4
146,414,1,1
146,414,2,
146,414,3,5
116,415,1,1
116,415,2,
116,415,3,6
29,416,1,1
29,416,2,
29,416,3,7
291,417,1,1
291,417,2,
291,417,3,"enrolled + FA app.
but not eligible"
80,418,1,1
80,418,2,
80,418,3,"not enrolled + FA app.
but not eligible"
33825,419,1,1
33825,419,2,
33825,419,3,
752,420,1,2
752,420,2,0
752,420,3,0
263,421,1,2
263,421,2,0
263,421,3,0bis
400,422,1,2
400,422,2,0
400,422,3,1
101,423,1,2
101,423,2,0
101,423,3,2
51,424,1,2
51,424,2,0
51,424,3,3
28,425,1,2
28,425,2,0
28,425,3,4
28,426,1,2
28,426,2,0
28,426,3,5
17,427,1,2
17,427,2,0
17,427,3,6
3,428,1,2
3,428,2,0
3,428,3,7
173,429,1,2
173,429,2,0
173,429,3,"enrolled + FA app.
but not eligible"
28,430,1,2
28,430,2,0
28,430,3,"not enrolled + FA app.
but not eligible"
1050,431,1,2
1050,431,2,0
1050,431,3,
36,432,1,2
36,432,2,0bis
36,432,3,0
1139,433,1,2
1139,433,2,0bis
1139,433,3,0bis
442,434,1,2
442,434,2,0bis
442,434,3,1
113,435,1,2
113,435,2,0bis
113,435,3,2
60,436,1,2
60,436,2,0bis
60,436,3,3
38,437,1,2
38,437,2,0bis
38,437,3,4
32,438,1,2
32,438,2,0bis
32,438,3,5
21,439,1,2
21,439,2,0bis
21,439,3,6
5,440,1,2
5,440,2,0bis
5,440,3,7
170,441,1,2
170,441,2,0bis
170,441,3,"enrolled + FA app.
but not eligible"
39,442,1,2
39,442,2,0bis
39,442,3,"not enrolled + FA app.
but not eligible"
917,443,1,2
917,443,2,0bis
917,443,3,
959,444,1,2
959,444,2,1
959,444,3,0
2190,445,1,2
2190,445,2,1
2190,445,3,0bis
9047,446,1,2
9047,446,2,1
9047,446,3,1
2566,447,1,2
2566,447,2,1
2566,447,3,2
873,448,1,2
873,448,2,1
873,448,3,3
320,449,1,2
320,449,2,1
320,449,3,4
259,450,1,2
259,450,2,1
259,450,3,5
118,451,1,2
118,451,2,1
118,451,3,6
20,452,1,2
20,452,2,1
20,452,3,7
909,453,1,2
909,453,2,1
909,453,3,"enrolled + FA app.
but not eligible"
256,454,1,2
256,454,2,1
256,454,3,"not enrolled + FA app.
but not eligible"
6621,455,1,2
6621,455,2,1
6621,455,3,
337,456,1,2
337,456,2,2
337,456,3,0
666,457,1,2
666,457,2,2
666,457,3,0bis
5956,458,1,2
5956,458,2,2
